graph_id,graph_type,graph_seed,num_nodes,num_edges,edge_density,avg_degree,degree_std,max_degree,clustering,optimal_cut,qaoa_depth_p,optimizer,runtime_seconds,num_function_evaluations,theta_0,theta_1,expected_cut,exact_expected_ratio,best_cut,best_ratio,best_bitstring,optimal_solution_probability,empirical_expected_ratio_sampled,sampled_best_ratio,shots,topology,transpiled_depth,transpiled_cx,transpiled_1q_ops,transpiled_total_ops,cx_per_edge,cx_per_layer,cx_per_edge_per_layer,theta_2,theta_3,theta_4,theta_5
erdos_renyi_n8_s168,erdos_renyi,168,8,14,0.5,3.5,1.0,4,0.3333333333333333,11,3,COBYLA,0.21942782402038574,53,1.8001042259742681,1.232726693756783,8.233609860229716,0.7485099872936106,11.0,1.0,01011100,0.05999674076047663,0.7478249289772727,1.0,2048,linear,164,191,194,385,13.642857142857142,63.666666666666664,4.5476190476190474,0.6005774245473613,1.5707963267948966,2.31301330870698,1.5707963267948966
erdos_renyi_n8_s168,erdos_renyi,168,8,14,0.5,3.5,1.0,4,0.3333333333333333,11,3,COBYLA,0.21942782402038574,53,1.8001042259742681,1.232726693756783,8.233609860229716,0.7485099872936106,11.0,1.0,01011100,0.05999674076047663,0.7478249289772727,1.0,2048,ring,144,180,187,367,12.857142857142858,60.0,4.285714285714286,0.6005774245473613,1.5707963267948966,2.31301330870698,1.5707963267948966
erdos_renyi_n8_s168,erdos_renyi,168,8,14,0.5,3.5,1.0,4,0.3333333333333333,11,3,COBYLA,0.21942782402038574,53,1.8001042259742681,1.232726693756783,8.233609860229716,0.7485099872936106,11.0,1.0,01011100,0.05999674076047663,0.7478249289772727,1.0,2048,grid,115,132,128,260,9.428571428571429,44.0,3.142857142857143,0.6005774245473613,1.5707963267948966,2.31301330870698,1.5707963267948966
erdos_renyi_n8_s168,erdos_renyi,168,8,14,0.5,3.5,1.0,4,0.3333333333333333,11,3,COBYLA,0.21942782402038574,53,1.8001042259742681,1.232726693756783,8.233609860229716,0.7485099872936106,11.0,1.0,01011100,0.05999674076047663,0.7478249289772727,1.0,2048,heavy_hex_like,158,137,150,287,9.785714285714286,45.666666666666664,3.261904761904762,0.6005774245473613,1.5707963267948966,2.31301330870698,1.5707963267948966
erdos_renyi_n8_s168,erdos_renyi,168,8,14,0.5,3.5,1.0,4,0.3333333333333333,11,3,SPSA,0.6558642387390137,181,0.7133822067523369,1.5301448552979702,8.916283099387671,0.8105711908534247,11.0,1.0,01011100,0.1550401133830568,0.8146750710227273,1.0,2048,all_to_all,78,84,177,261,6.0,28.0,2.0,0.8560320925609567,0.6025065935478647,1.8274989518704536,1.2315363814818776
erdos_renyi_n8_s168,erdos_renyi,168,8,14,0.5,3.5,1.0,4,0.3333333333333333,11,3,SPSA,0.6558642387390137,181,0.7133822067523369,1.5301448552979702,8.916283099387671,0.8105711908534247,11.0,1.0,01011100,0.1550401133830568,0.8146750710227273,1.0,2048,linear,187,191,250,441,13.642857142857142,63.666666666666664,4.5476190476190474,0.8560320925609567,0.6025065935478647,1.8274989518704536,1.2315363814818776
erdos_renyi_n8_s168,erdos_renyi,168,8,14,0.5,3.5,1.0,4,0.3333333333333333,11,3,SPSA,0.6558642387390137,181,0.7133822067523369,1.5301448552979702,8.916283099387671,0.8105711908534247,11.0,1.0,01011100,0.1550401133830568,0.8146750710227273,1.0,2048,ring,160,180,249,429,12.857142857142858,60.0,4.285714285714286,0.8560320925609567,0.6025065935478647,1.8274989518704536,1.2315363814818776
erdos_renyi_n8_s168,erdos_renyi,168,8,14,0.5,3.5,1.0,4,0.3333333333333333,11,3,SPSA,0.6558642387390137,181,0.7133822067523369,1.5301448552979702,8.916283099387671,0.8105711908534247,11.0,1.0,01011100,0.1550401133830568,0.8146750710227273,1.0,2048,grid,149,125,196,321,8.928571428571429,41.666666666666664,2.9761904761904763,0.8560320925609567,0.6025065935478647,1.8274989518704536,1.2315363814818776
erdos_renyi_n8_s168,erdos_renyi,168,8,14,0.5,3.5,1.0,4,0.3333333333333333,11,3,SPSA,0.6558642387390137,181,0.7133822067523369,1.5301448552979702,8.916283099387671,0.8105711908534247,11.0,1.0,01011100,0.1550401133830568,0.8146750710227273,1.0,2048,heavy_hex_like,177,137,213,350,9.785714285714286,45.666666666666664,3.261904761904762,0.8560320925609567,0.6025065935478647,1.8274989518704536,1.2315363814818776
erdos_renyi_n10_s7,erdos_renyi,7,10,27,0.6,5.4,1.0198039027185568,7,0.6276190476190476,18,1,COBYLA,0.3237318992614746,36,1.304202066601621,1.07721440796313,14.40701454856017,0.8003896971422316,18.0,1.0,1011110000,0.03698283429104367,0.7974989149305556,1.0,2048,all_to_all,53,54,106,160,2.0,54.0,2.0,,,,
